"filename", "language", "XML", "JSON", "Markdown", "C#", "HTTP", "JavaScript", "Properties", "JavaScript JSX", "PostCSS", "Dotenv", "HTML", "log", "comment", "blank", "total"
"d:\SocialNetworkApp\SocialNetworkApp\src\.agent.md", "Markdown", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IFeedGenerator.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IFriendGraphService.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\ITokenService.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUnitOfWork.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\IUploadService.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\ICommand.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\ICommandHandler.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IDomainEventHandler.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IQuery.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Messaging\IQueryHandler.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IConversationRepository.cs", "C#", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFeedRepository.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendRequestRepository.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IFriendshipRepository.cs", "C#", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupReportRepository.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IGroupRepository.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IMessageRepository.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IPostRepository.cs", "C#", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 36
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\ISchoolRepository.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Repositories\IUserRepository.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Abstractions\Security\IBlindIndexService.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Application.csproj", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Login\LoginCommand.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Login\LoginCommandHandler.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Register\RegisterCommand.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Auth\Commands\Register\RegisterCommandHandler.cs", "C#", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 82
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Behaviors\ValidationPipelineBehavior.cs", "C#", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 62
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\CreateConversation\CreateConversationCommand.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\CreateConversation\CreateConversationCommandHandler.cs", "C#", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 82
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RemoveMemberFromConversation\RemoveMemberFromConversationCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\RemoveMemberFromConversation\RemoveMemberFromConversationCommandHandler.cs", "C#", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\ToggleNotifications\ToggleNotificationsCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Commands\ToggleNotifications\ToggleNotificationsCommandHandler.cs", "C#", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 50
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetailByUserId\GetConversationDetailByUserIdQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetailByUserId\GetConversationDetailByUserIdQueryHandler.cs", "C#", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 59
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetail\GetConversationDetailQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversationDetail\GetConversationDetailQueryHandler.cs", "C#", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversations\GetConversationsQuery.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\GetConversations\GetConversationsQueryHandler.cs", "C#", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\SearchConversationsAndFriends\SearchConversationsAndFriendsQuery.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Conversations\Queries\SearchConversationsAndFriends\SearchConversationsAndFriendsQueryHandler.cs", "C#", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 106
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationDetailDto.cs", "C#", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationResponse.cs", "C#", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 58
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Conversations\ConversationSearchResponse.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Feeds\FeedPostDto.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Friends\FriendRequestDto.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Friends\FriendResponse.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupDto.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupJoinRequestDto.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupMemberDto.cs", "C#", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\GroupRuleResponse.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Groups\ReportedGroupContentDto.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\AttachmentDto.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MemberMessageDto.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Messages\MessageDto.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostCommentDto.cs", "C#", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostDto.cs", "C#", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostMediaDto.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\PostMediaItemDto.cs", "C#", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Posts\ReactionCountDto.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Schools\SchoolResponse.cs", "C#", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Search\GlobalSearchResponse.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\PersonalInfoResponse.cs", "C#", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\TaggableUserDto.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DTOs\Users\UserHoverCardResponse.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\DependencyInjection.cs", "C#", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\AcceptFriendRequest\AcceptFriendRequestCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\AcceptFriendRequest\AcceptFriendRequestCommandHandler.cs", "C#", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 102
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SendFriendRequest\SendFriendRequestCommand.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SendFriendRequest\SendFriendRequestCommandHandler.cs", "C#", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 84
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SyncAllFriends\SyncAllFriendsCommand.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Commands\SyncAllFriends\SyncAllFriendsCommandHandler.cs", "C#", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Events\FriendshipCreated\FriendshipCreatedDomainEventHandler.cs", "C#", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetFriendRecommendations\GetFriendRecommendationsQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetFriendRecommendations\GetFriendRecommendationsQueryHandler.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetFriends\GetFriendsQuery.cs", "C#", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetFriends\GetFriendsQueryHandler.cs", "C#", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetIncomingFriendRequests\GetIncomingFriendRequestsQuery.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetIncomingFriendRequests\GetIncomingFriendRequestsQueryHandler.cs", "C#", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 67
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetMutualFriends\GetMutualFriendsQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetMutualFriends\GetMutualFriendsQueryHandler.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetShortestPath\GetShortestPathQuery.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Friend\Queries\GetShortestPath\GetShortestPathQueryHandler.cs", "C#", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\AssignGroupRole\AssignGroupRoleCommand.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\AssignGroupRole\AssignGroupRoleCommandHandler.cs", "C#", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 108
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\CreateGroupRule\CreateGroupRuleCommand.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\CreateGroupRule\CreateGroupRuleCommandHandler.cs", "C#", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 57
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\CreateGroup\CreateGroupCommand.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\CreateGroup\CreateGroupCommandHandler.cs", "C#", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 67
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\DeleteGroupRule\DeleteGroupRuleCommand.cs", "C#", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\DeleteGroupRule\DeleteGroupRuleCommandHandler.cs", "C#", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 59
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ExecuteReportedContent\ExecuteReportedContentCommand.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ExecuteReportedContent\ExecuteReportedContentCommandHandler.cs", "C#", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\JoinGroup\JoinGroupCommand.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\JoinGroup\JoinGroupCommandHandler.cs", "C#", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 81
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\LeaveGroup\LeaveGroupCommand.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\LeaveGroup\LeaveGroupCommandHandler.cs", "C#", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReportGroupPost\ReportGroupPostCommand.cs", "C#", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\SocialNetworkApp\SocialNetworkApp\src\Application\Groups\Commands\ReportGroupPost\ReportGroupPostCommandHandler.cs", "C#", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
